name,c360API_attribute,bq_view_name,bq_column_name,bq_column_data_type,is_available_in_c360API
lastmobilevisit_dt,customer_transaction_dates.last_mobile_visit_dt,C360_Customer_Last_Event,last_mobile_visit_dt,DateType,true
lastsnaptxn_dt,,C360_Customer_Last_Event,last_snap_txn_dt,DateType,false
lastdugdt,,C360_Customer_Last_Event,last_dug_dt,DateType,false
lastdoordashshop_dt,,C360_Customer_Last_Event,last_doordash_shop_dt,DateType,false
lastubereatsshop_dt,,C360_Customer_Last_Event,last_ubereats_shop_dt,DateType,false
lastinstacartshop_dt,,C360_Customer_Last_Event,last_instacart_shop_dt,DateType,false
lastfreshpasstransaction_dt,,C360_Customer_Last_Event,last_freshpass_transaction_dt,DateType,false
lastj4uclipped_dt,,C360_Customer_Last_Event,last_j4u_clipped_dt,DateType,false
lastsafewaygasrewardsdt,,C360_Customer_Last_Event,last_safeway_gas_rewards_dt,DateType,false
lastpartnergasrewardsdt,,C360_Customer_Last_Event,last_partner_gas_rewards_dt,DateType,false
lastdigitalweeklyaddt,,C360_Customer_Last_Event,last_digital_weekly_ad_dt,DateType,false
lastdeliverydt,,C360_Customer_Last_Event,last_delivery_dt,DateType,false
lastemailsent_dt,,C360_Customer_Last_Event,last_email_sent_dt,DateType,false
lastemailclick_dt,,C360_Customer_Last_Event,last_email_click_dt,DateType,false
lastemailopened_dt,,C360_Customer_Last_Event,last_email_opened_dt,DateType,false
lastsmssent_dt,,C360_Customer_Last_Event,last_sms_sent_dt,DateType,false
lastmobiletransaction_dt,,C360_Customer_Last_Event,last_mobile_transaction_dt,DateType,false
